id,price
0,16016.06
1,17071.02
2,15795.82
3,15823.85
4,15913.41
5,15757.78
6,15819.29
7,14928.96
8,15726.43
9,15592.83
10,15979.61
11,14994.22
12,15648.06
13,15492.46
14,15777.93
15,15357.52
16,15059.88
17,15407.59
18,16083.95
19,14735.06
20,15783.18
21,17390.46
22,15489.72
23,14994.33
24,16225.57
25,16390.25
26,14974.47
27,14966.53
28,15930.27
29,15060.02
30,15946.44
31,15172.92
32,15876.09
33,14851.8
34,15022.51
35,15914.63
36,16914.33
37,16767.88
38,15704.45
39,14994.6
40,15208.41
41,15732.5
42,15196.66
43,15563.94
44,15707.42
45,15305.2
46,15045.71
47,14913.52
48,15326.07
49,15379.14
50,14713.2
51,15819.29
52,15696.93
53,15642.08
54,15658.25
55,15572.17
56,16836.83
57,15648.06
58,16363.23
59,15602.92
60,15681.19
61,15014.05
62,15628.44
63,15091.58
64,15891.38
65,15814.84
66,15206.7
67,16963.6
68,15905.48
69,15703.51
70,14727.39
71,15085.43
72,15211.92
73,15693.56
74,15642.08
75,15667.2
76,15772.26
77,15878.8
78,15749.93
79,15824.62
80,15830.81
81,15182.5
82,15093.59
83,15836.08
84,14830.24
85,15765.76
86,15082.7
87,15814.84
88,15812.5
89,15834.81
90,15900.71
91,15191.89
92,15074.56
93,14685.22
94,17047.46
95,14922.0
96,15836.08
97,15177.71
98,15717.72
99,15342.59
100,15587.72
101,15062.22
102,14924.38
103,14594.13
104,15746.63
105,15733.59
106,15304.88
107,14834.48
108,15730.62
109,14911.56
110,14934.89
111,15277.63
112,15920.95
113,15637.19
114,15578.58
115,15512.13
116,15766.34
117,17005.33
118,15326.55
119,15886.13
120,15459.46
121,15669.76
122,15301.9
123,15229.25
124,14943.28
125,17340.19
126,15627.13
127,15602.92
128,15697.44
129,15721.21
130,16293.59
131,17073.77
132,15627.05
133,14829.93
134,16625.28
135,15271.37
136,15298.61
137,15842.35
138,14867.68
139,16056.25
140,15049.97
141,15186.05
142,15653.04
143,17088.09
144,15239.69
145,15897.99
146,15736.78
147,15819.54
148,16251.37
149,16933.42
150,16788.84
151,15652.31
152,15707.33
153,16087.83
154,15093.98
155,16102.84
156,16770.13
157,15444.84
158,16005.33
159,14783.77
160,17344.35
161,15673.33
162,14924.84
163,14876.92
164,15926.29
165,15654.91
166,15500.42
167,15521.38
168,15891.14
169,17076.47
170,15123.82
171,15833.87
172,16120.85
173,15669.37
174,15093.59
175,15548.02
176,15765.93
177,15976.31
178,15744.82
179,15853.65
180,15822.65
181,16134.16
182,14896.67
183,15810.06
184,14718.01
185,16052.04
186,15212.65
187,15043.75
188,15311.07
189,15123.75
190,15104.02
191,14944.93
192,14927.93
193,15627.42
194,16251.37
195,15595.21
196,14911.56
197,15507.94
198,14854.63
199,15548.02
200,15511.77
201,15423.17
202,15124.22
203,15507.38
204,15871.56
205,17039.67
206,15030.36
207,15869.87
208,15025.72
209,16005.33
210,15834.81
211,15736.96
212,15668.3
213,15435.79
214,15810.66
215,15055.48
216,15029.56
217,15843.39
218,15483.05
219,15988.03
220,16816.35
221,15707.42
222,15590.56
223,15187.44
224,15218.2
225,15489.43
226,15722.18
227,15814.18
228,15947.08
229,15500.42
230,16016.06
231,15210.82
232,14533.69
233,15678.01
234,14958.24
235,16087.26
236,14714.41
237,15179.24
238,15281.38
239,15859.22
240,15985.57
241,15090.45
242,15767.97
243,16119.51
244,15433.37
245,15210.62
246,15718.33
247,15852.13
248,15516.2
249,15595.65
250,15697.05
251,15194.66
252,15554.76
253,16260.12
254,15789.47
255,15136.35
256,15092.03
257,15918.05
258,14873.88
259,15654.71
260,15677.58
261,15829.52
262,15626.79
263,15721.54
264,15031.45
265,15845.59
266,16680.07
267,15269.13
268,15404.92
269,15801.3
270,15925.68
271,15140.79
272,15931.59
273,15494.44
274,14514.89
275,14896.67
276,15564.7
277,14907.33
278,16809.3
279,16056.25
280,15434.47
281,15522.16
282,16239.37
283,16243.03
284,15296.76
285,15792.88
286,17396.63
287,16002.49
288,15646.39
289,17232.63
290,15324.87
291,17321.71
292,15812.95
293,15200.97
294,15682.08
295,15519.67
296,16258.27
297,14876.92
298,14484.69
299,15708.64
300,16891.6
301,15262.57
302,15869.87
303,15500.42
304,15098.45
305,16998.48
306,15208.78
307,14876.92
308,15649.89
309,15659.69
310,15735.91
311,15278.82
312,17583.57
313,15505.3
314,16211.72
315,16002.01
316,15416.22
317,16012.6
318,15229.25
319,15863.2
320,15560.75
321,15338.53
322,15113.96
323,15150.2
324,15376.52
325,15568.81
326,15692.56
327,15818.58
328,15654.1
329,15090.67
330,15806.64
331,15600.12
332,15017.06
333,15734.06
334,15695.9
335,15760.64
336,16997.21
337,14942.83
338,15025.3
339,16129.14
340,14687.77
341,15936.14
342,14589.35
343,16227.71
344,16117.16
345,15646.61
346,15213.63
347,15843.81
348,16245.41
349,14948.09
350,15380.35
351,15033.01
352,16711.08
353,15746.39
354,14698.96
355,15732.4
356,14948.09
357,15188.95
358,15324.19
359,15181.16
360,15160.4
361,15656.46
